Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
boost_converter_module,71.9,93.3,91.2,92.2,61.1,58.2,63.5,96.7,87.8,73.5,76.1,96.1,94.5,80.0,72.0,64.0
bread_model,80.4,96.2,92.9,96.5,55.9,61.3,86.8,90.1,77.0,65.8,84.3,97.5,95.1,76.0,56.0,44.0
brooch_clasp_accessory,97.9,99.7,97.5,97.8,76.7,73.5,92.2,31.2,8.7,4.3,99.9,100.0,99.5,0.0,0.0,0.0
button_battery_holder,84.6,97.7,94.2,89.0,36.7,41.3,70.6,83.6,58.6,46.9,87.6,98.2,95.8,56.0,52.0,44.0
button_motor,92.6,98.9,96.5,97.6,74.0,72.7,83.2,44.0,25.6,19.2,88.4,98.4,94.9,84.0,64.0,40.0
button_switch,88.3,98.5,94.1,99.0,82.0,76.4,80.3,88.0,78.4,52.8,97.9,99.7,97.8,20.0,12.0,4.0
car_door_lock_switch,71.2,95.0,94.2,92.7,48.6,49.8,74.4,96.0,83.2,75.2,64.0,93.3,94.1,88.0,80.0,64.0
ceramic_fuse,65.1,93.5,94.3,90.8,17.8,29.0,73.7,92.0,84.8,73.6,72.8,95.3,95.7,68.0,68.0,68.0
ceramic_wave_filter,87.9,98.0,95.0,91.1,50.5,56.6,72.9,72.0,52.8,36.0,90.5,98.4,96.8,40.0,32.0,28.0
charging_port,79.8,96.6,93.8,88.4,34.8,33.7,72.8,88.1,68.9,56.3,91.6,98.8,95.6,60.0,40.0,32.0
chip-inductor,76.4,96.4,94.1,86.4,40.4,40.1,75.2,88.1,85.7,71.4,79.0,96.9,94.3,92.0,84.0,72.0
circuit_breaker,91.7,98.9,95.2,98.1,72.5,68.7,87.3,62.2,49.6,31.5,99.5,99.9,99.3,8.0,4.0,0.0
circular_aviation_connector,62.2,86.9,87.5,68.0,10.8,15.5,40.5,98.4,95.2,88.3,90.9,98.5,96.1,52.0,36.0,28.0
common-mode-choke,71.7,90.8,91.6,96.5,61.7,59.5,82.3,84.0,72.7,58.8,78.0,96.6,94.1,96.0,96.0,76.0
common-mode-filter,91.2,98.7,95.6,93.0,41.9,41.7,75.6,58.0,32.1,24.4,94.4,99.2,96.9,44.0,32.0,24.0
connector,87.0,98.1,94.4,85.5,59.7,54.9,73.9,76.2,67.7,53.1,94.4,99.3,96.2,44.0,32.0,24.0
connector_housing-female,92.7,98.8,96.6,86.5,44.9,47.0,80.4,40.5,34.1,23.0,94.8,99.3,97.3,40.0,36.0,24.0
console_switch,87.1,98.0,95.5,78.6,25.7,32.6,74.9,61.6,49.6,41.6,90.5,98.6,96.1,48.0,40.0,28.0
crimp_st_cable_mount_box,84.9,97.5,93.6,96.3,59.4,61.3,89.2,88.7,62.0,44.4,87.7,98.4,95.4,60.0,60.0,60.0
dc_jack,86.1,97.4,92.3,87.8,48.8,43.5,81.5,82.5,69.9,53.0,97.0,99.6,97.0,36.0,16.0,12.0
dc_power_connector,89.9,98.5,95.4,89.2,26.1,30.2,80.4,60.0,47.2,32.0,91.7,98.7,96.1,52.0,28.0,20.0
